"codigo_ocorrencia","codigo_ocorrencia2","ocorrencia_classificacao","ocorrencia_cidade","ocorrencia_uf","ocorrencia_aerodromo","ocorrencia_dia","ocorrencia_hora","total_recomendacoes"
"81027","81027","INCIDENTE GRAVE","SÃO PAULO","SP","SBSP","10/9/2022","16:30:00","0"
"81030","81030","INCIDENTE","VITÓRIA","ES","SBVT","10/9/2022","16:20:00","0"
"81023","81023","INCIDENTE GRAVE","AMERICANA","SP","SDAI","10/6/2022","15:30:00","0"
"81029","81029","INCIDENTE","BELO HORIZONTE","MG","SBBH","10/6/2022","0:44:00","0"
"81025","81025","INCIDENTE","MANAUS","AM","SBEG","10/5/2022","20:56:00","0"
"81019","81019","ACIDENTE","PORTO ALEGRE","RS","***","10/3/2022","20:50:00","0"
"81022","81022","INCIDENTE","LOBATO","PR","***","10/3/2022","15:38:00","0"
"81021","81021","ACIDENTE","NOVA BANDEIRANTES","MT","***","10/2/2022","19:00:00","0"
"81009","81009","INCIDENTE GRAVE","NAVIRAÍ","MS","**NI","10/1/2022","10:10:00","0"
"81012","81012","INCIDENTE","LINHARES","ES","***","9/30/2022","12:20:00","0"
"81017","81017","INCIDENTE GRAVE","GOIÂNIA","GO","SBNV","9/30/2022","13:40:00","0"
"81006","81006","INCIDENTE","UBERLÂNDIA","MG","SBUL","9/28/2022","12:55:00","0"
"81014","81014","ACIDENTE","BOA VISTA","RR","***","9/27/2022","0:00:00","0"
"81003","81003","INCIDENTE GRAVE","ARAÇATUBA","SP","SBAU","9/26/2022","18:30:00","0"
"81001","81001","INCIDENTE","BRAGANÇA PAULISTA","SP","SBBP","9/25/2022","20:00:00","0"
"81018","81018","ACIDENTE","LONTRAS","SC","***","9/24/2022","20:05:00","0"
"81000","81000","INCIDENTE","TERESINA","PI","SBTE","9/22/2022","9:50:00","0"
"81002","81002","INCIDENTE","QUERÊNCIA","MT","***","9/22/2022","18:00:00","0"
"80997","80997","INCIDENTE","GUARULHOS","SP","SBGR","9/21/2022","11:30:00","0"
"80998","80998","ACIDENTE","ENGENHEIRO CALDAS","MG","***","9/21/2022","17:51:00","0"
"80993","80993","ACIDENTE","SÃO PAULO","SP","SBMT","9/20/2022","9:05:00","0"
"80995","80995","INCIDENTE","URUARÁ","PA","***","9/20/2022","14:00:00","0"
"80996","80996","INCIDENTE","CAMPO LARGO","PR","***","9/20/2022","18:17:00","0"
"80994","80994","INCIDENTE","CURITIBA","PR","SBCT","9/19/2022","18:40:00","0"
"80990","80990","INCIDENTE","SOCORRO","SP","**NI","9/17/2022","16:45:00","0"
"80989","80989","INCIDENTE","BELO HORIZONTE","MG","SBBH","9/16/2022","18:48:00","0"
"81007","81007","INCIDENTE","NÃO IDENTIFICADA","PR","***","9/16/2022","19:40:00","0"
"80987","80987","INCIDENTE","CONFINS","MG","SBCF","9/15/2022","15:12:00","0"
"80988","80988","INCIDENTE GRAVE","CACHOEIRA DO ARARI","PA","SIEK","9/15/2022","16:20:00","0"
"81004","81004","INCIDENTE GRAVE","TERESINA","PI","SBTE","9/15/2022","12:50:00","0"
"81026","81026","INCIDENTE","RIO DE JANEIRO","RJ","SBRJ","9/14/2022","1:19:00","0"
"80982","80982","INCIDENTE","SÃO PAULO","SP","SBSP","9/13/2022","11:30:00","0"
"80980","80980","ACIDENTE","LENÇÓIS PAULISTA","SP","SDLP","9/11/2022","17:00:00","0"
"80981","80981","INCIDENTE","CANTÁ","RR","SWPD","9/11/2022","13:30:00","0"
"80969","80969","INCIDENTE","MARABÁ","PA","SBMA","9/10/2022","17:45:00","0"
"80971","80971","ACIDENTE","ORIXIMINÁ","PA","***","9/10/2022","13:50:00","0"
"80977","80977","INCIDENTE GRAVE","TRÊS LAGOAS","MS","***","9/10/2022","12:20:00","0"
"80979","80979","ACIDENTE","ALTO ARAGUAIA","MT","***","9/10/2022","22:00:00","0"
"80970","80970","INCIDENTE","BENEVIDES","PA","SNYP","9/9/2022","14:00:00","0"
"80976","80976","INCIDENTE","ITAJUBÁ","MG","SNHH","9/9/2022","15:30:00","0"
"80978","80978","ACIDENTE","SANTA HELENA DE GOIÁS","GO","***","9/9/2022","15:40:00","0"
"80966","80966","ACIDENTE","JUIZ DE FORA","MG","SBJF","9/8/2022","20:10:00","0"
"80955","80955","INCIDENTE","CUIABÁ","MT","SBCY","9/6/2022","17:40:00","0"
"80961","80961","ACIDENTE","MONTE SANTO","BA","***","9/6/2022","13:30:00","0"
"80972","80972","INCIDENTE","VÁRZEA GRANDE","MT","SBCY","9/6/2022","15:37:00","0"
"80974","80974","INCIDENTE","PORTO SEGURO","BA","SBPS","9/6/2022","16:50:00","0"
"80958","80958","INCIDENTE","MONTES CLAROS","MG","SBMK","9/5/2022","20:40:00","0"
"80975","80975","INCIDENTE","BELO HORIZONTE","MG","SBBH","9/4/2022","17:07:00","0"
"80954","80954","ACIDENTE","NAVEGANTES","SC","SBNF","9/2/2022","11:40:00","0"
"80963","80963","INCIDENTE","CURITIBA","PR","SBCT","9/2/2022","23:03:00","0"
"80968","80968","INCIDENTE","TEFÉ","AM","SBTF","9/2/2022","22:28:00","0"
"80973","80973","INCIDENTE","RIO DE JANEIRO","RJ","SBRJ","9/2/2022","23:20:00","0"
"80952","80952","ACIDENTE","ELDORADO DO SUL","RS","SSMK","9/1/2022","18:00:00","0"
"80951","80951","INCIDENTE GRAVE","ASSIS","SP","SNAX","8/31/2022","18:45:00","0"
"80960","80960","INCIDENTE","CAMPINAS","SP","SBKP","8/31/2022","16:09:00","0"
"80985","80985","INCIDENTE","CAMPINAS","SP","SBKP","8/31/2022","16:09:00","0"
"80938","80938","INCIDENTE","MARABÁ","PA","SBMA","8/29/2022","NULL","0"
"80956","80956","INCIDENTE","FORTALEZA","CE","SBFZ","8/29/2022","12:04:00","0"
"80940","80940","ACIDENTE","RIBAS DO RIO PARDO","MS","***","8/28/2022","20:30:00","0"
"80945","80945","ACIDENTE","PARÁ DE MINAS","MG","SNPA","8/28/2022","20:00:00","0"
"80948","80948","INCIDENTE","CURITIBA","PR","SBCT","8/28/2022","12:30:00","0"
"80950","80950","INCIDENTE","GUARULHOS","SP","SBGR","8/28/2022","12:30:00","0"
"80942","80942","ACIDENTE","CAMPO LARGO","PR","***","8/27/2022","20:30:00","0"
"80953","80953","INCIDENTE","SÃO PAULO","SP","SBMT","8/27/2022","23:15:00","0"
"80941","80941","INCIDENTE GRAVE","IMPERATRIZ","MA","SBIZ","8/26/2022","11:58:00","0"
"80967","80967","INCIDENTE","BARRA VELHA","SC","***","8/26/2022","19:30:00","0"
"80936","80936","INCIDENTE","SÃO FÉLIX DO XINGU","PA","SNFX","8/25/2022","15:55:00","0"
"80935","80935","INCIDENTE","RIO CLARO","SP","SDRK","8/24/2022","20:15:00","0"
"80931","80931","ACIDENTE","BRAGANÇA PAULISTA","SP","**NI","8/22/2022","23:20:00","0"
"80925","80925","INCIDENTE GRAVE","SÃO PAULO","SP","SBMT","8/20/2022","19:00:00","0"
"80929","80929","INCIDENTE GRAVE","ANDRADINA","SP","***","8/20/2022","20:00:00","0"
"80939","80939","INCIDENTE","RECIFE","PE","SBRF","8/20/2022","16:35:00","0"
"80947","80947","INCIDENTE","MANAUS","AM","SBEG","8/20/2022","8:13:00","0"
"80923","80923","INCIDENTE GRAVE","BELO HORIZONTE","MG","SBBH","8/19/2022","16:06:00","0"
"80924","80924","INCIDENTE GRAVE","PORTO MURTINHO","MS","**NI","8/19/2022","18:40:00","0"
"80926","80926","INCIDENTE","PORTO ALEGRE","RS","SSBN","8/19/2022","14:10:00","0"
"80934","80934","INCIDENTE GRAVE","BELO HORIZONTE","MG","SBPR","8/19/2022","19:00:00","0"
"80943","80943","INCIDENTE","GUARAQUEÇABA","PR","***","8/18/2022","17:30:00","0"
"80949","80949","INCIDENTE","SÃO JOSÉ DOS CAMPOS","SP","SBSJ","8/18/2022","0:30:00","0"
"80932","80932","INCIDENTE","RIO DE JANEIRO","RJ","SBRJ","8/17/2022","9:49:00","0"
"80962","80962","INCIDENTE","CAMPINAS","SP","SBKP","8/17/2022","10:52:00","0"
"80922","80922","INCIDENTE GRAVE","GUARUJÁ","SP","SBST","8/16/2022","13:00:00","0"
"80915","80915","INCIDENTE","GOIÂNIA","GO","SBGO","8/15/2022","9:25:00","0"
"80919","80919","INCIDENTE","SOROCABA","SP","SDCO","8/15/2022","11:30:00","0"
"80920","80920","ACIDENTE","RIO DE JANEIRO","RJ","***","8/15/2022","18:30:00","0"
"81008","81008","INCIDENTE","GUARULHOS","SP","SBGR","8/15/2022","3:15:00","0"
"80921","80921","ACIDENTE","SÃO LUÍS","MA","***","8/14/2022","19:00:00","0"
"80927","80927","INCIDENTE","VÁRZEA GRANDE","MT","SBCY","8/14/2022","21:52:00","0"
"80928","80928","INCIDENTE","CAMPINAS","SP","SBKP","8/14/2022","5:11:00","0"
"80916","80916","INCIDENTE GRAVE","SALVADOR","BA","SBSV","8/13/2022","14:15:00","0"
"80914","80914","INCIDENTE GRAVE","FRANCA","SP","***","8/12/2022","10:45:00","0"
"80917","80917","INCIDENTE GRAVE","GOIÂNIA","GO","SBGO","8/12/2022","20:00:00","0"
"80964","80964","INCIDENTE","PALMAS","TO","SBPJ","8/11/2022","5:31:00","0"
"80908","80908","INCIDENTE","SOROCABA","SP","SDCO","8/10/2022","14:50:00","0"
"80912","80912","INCIDENTE","RIO DE JANEIRO","RJ","SBGL","8/10/2022","10:09:00","0"
"80907","80907","INCIDENTE","MARABÁ","PA","SBMA","8/9/2022","18:00:00","0"
"80910","80910","INCIDENTE","SÃO FÉLIX DO XINGU","PA","***","8/9/2022","18:24:00","0"
"80904","80904","ACIDENTE","GOIÂNIA","GO","SBNV","8/7/2022","14:50:00","0"
"80906","80906","INCIDENTE","RECIFE","PE","SBRF","8/7/2022","0:28:00","0"
"80902","80902","INCIDENTE","RONDONÓPOLIS","MT","SBRD","8/6/2022","14:45:00","0"
"80913","80913","INCIDENTE","GUARULHOS","SP","SBGR","8/6/2022","14:00:00","0"
"80899","80899","ACIDENTE","SÃO PAULO","SP","***","8/5/2022","21:40:00","0"
"80905","80905","INCIDENTE","BELÉM","PA","SBBE","8/5/2022","19:09:00","0"
"80911","80911","INCIDENTE","CHAPECÓ","SC","SBCH","8/5/2022","17:22:00","0"
"80898","80898","INCIDENTE GRAVE","LONDRINA","PR","SBLO","8/4/2022","21:10:00","0"
"80900","80900","INCIDENTE","PETROLINA","PE","SBPL","8/4/2022","18:56:00","0"
"80959","80959","INCIDENTE GRAVE","GOIÂNIA","GO","SBGO","8/3/2022","20:50:00","0"
"80895","80895","INCIDENTE GRAVE","MONTES CLAROS","MG","SBMK","8/2/2022","15:05:00","0"
"80894","80894","INCIDENTE","JUSSARA","GO","SWGW","7/31/2022","13:30:00","0"
"80887","80887","INCIDENTE","RIO DE JANEIRO","RJ","SBGL","7/30/2022","1:23:00","0"
"80886","80886","INCIDENTE","LÁBREA","AM","SWLB","7/29/2022","17:12:00","0"
"80891","80891","INCIDENTE","SÃO PAULO","SP","SBSP","7/29/2022","20:50:00","0"
"80896","80896","INCIDENTE","CAMPINAS","SP","SBKP","7/29/2022","23:40:00","0"
"81010","81010","INCIDENTE","BELÉM","PA","SBBE","7/28/2022","20:01:00","0"
"80882","80882","INCIDENTE","BAURU","SP","SBBU","7/27/2022","17:30:00","0"
"80883","80883","INCIDENTE","BELÉM","PA","SBBE","7/27/2022","19:18:00","0"
"80884","80884","INCIDENTE","MACAPÁ","AP","SBMQ","7/27/2022","18:20:00","0"
"80885","80885","ACIDENTE","CONDEÚBA","BA","SIPO","7/27/2022","13:40:00","0"
"80879","80879","ACIDENTE","CAMPO GRANDE","MS","***","7/26/2022","20:02:00","0"
"80897","80897","INCIDENTE GRAVE","RIO DE JANEIRO","RJ","SIAN","7/26/2022","18:30:00","0"
"80874","80874","INCIDENTE","CAPIVARI","SP","***","7/25/2022","16:40:00","0"
"80878","80878","INCIDENTE","JOINVILLE","SC","SBJV","7/25/2022","20:09:00","0"
"80881","80881","INCIDENTE","ARAPONGAS","PR","***","7/25/2022","12:38:00","0"
"80873","80873","INCIDENTE","MANAUS","AM","SBEG","7/24/2022","23:30:00","0"
"80876","80876","INCIDENTE","REDENÇÃO","PA","SNDC","7/24/2022","15:25:00","0"
"80872","80872","INCIDENTE","RIO DE JANEIRO","RJ","SBGL","7/22/2022","6:20:00","0"
"80875","80875","INCIDENTE","CURITIBA","PR","SBBI","7/22/2022","21:44:00","0"
"80877","80877","INCIDENTE","RECIFE","PE","SBRF","7/22/2022","8:45:00","0"
"80866","80866","INCIDENTE","CONFINS","MG","SBCF","7/20/2022","14:08:00","0"
"80869","80869","INCIDENTE","RIO DE JANEIRO","RJ","SBSC","7/19/2022","20:15:00","0"
"80870","80870","INCIDENTE","CAMPO GRANDE","MS","SSKG","7/19/2022","18:38:00","0"
"80871","80871","ACIDENTE","LOANDA","PR","***","7/19/2022","17:00:00","0"
"80903","80903","INCIDENTE GRAVE","NOVA CANTU","PR","***","7/19/2022","13:26:00","0"
"80862","80862","INCIDENTE","SÃO PAULO","SP","SBSP","7/18/2022","12:54:00","0"
"80864","80864","INCIDENTE","BELÉM","PA","SBBE","7/18/2022","14:25:00","0"
"80863","80863","INCIDENTE","BRASÍLIA","DF","SBBR","7/17/2022","20:35:00","0"
"80861","80861","INCIDENTE","CAMPOS DOS GOYTACAZES","RJ","***","7/16/2022","18:25:00","0"
"80860","80860","INCIDENTE","RIO DAS OSTRAS","RJ","**NI","7/15/2022","0:30:00","0"
"80858","80858","ACIDENTE","MUCAJAÍ","RR","***","7/13/2022","15:30:00","0"
"80856","80856","ACIDENTE","BOA VISTA","RR","***","7/12/2022","10:40:00","0"
"80890","80890","INCIDENTE","CUIABÁ","MT","SBCY","7/12/2022","14:50:00","0"
"80854","80854","ACIDENTE","CONQUISTA D'OESTE","MT","***","7/11/2022","19:30:00","0"
"81011","81011","INCIDENTE","RIO DE JANEIRO","RJ","SBRJ","7/10/2022","11:00:00","0"
"80846","80846","INCIDENTE","BENTO GONÇALVES","RS","SSBG","7/9/2022","18:55:00","0"
"80853","80853","INCIDENTE","VÁRZEA GRANDE","MT","SBCY","7/9/2022","15:30:00","0"
"80841","80841","INCIDENTE GRAVE","INACIOLÂNDIA","GO","**NI","7/8/2022","14:00:00","0"
"80857","80857","INCIDENTE","RIO DE JANEIRO","RJ","SBGL","7/7/2022","17:30:00","0"
"80842","80842","INCIDENTE GRAVE","LUCAS DO RIO VERDE","MT","***","7/6/2022","21:50:00","0"
"80837","80837","INCIDENTE GRAVE","IPIXUNA","AM","**NI","7/5/2022","21:22:00","0"
"80838","80838","ACIDENTE","TAPURAH","MT","***","7/5/2022","13:30:00","0"
"80839","80839","INCIDENTE","SÃO JOSÉ DOS CAMPOS","SP","SBSJ","7/5/2022","18:25:00","0"
"80843","80843","INCIDENTE","CONFINS","MG","SBCF","7/5/2022","6:23:00","0"
"80834","80834","INCIDENTE","ILHÉUS","BA","SBIL","7/4/2022","21:34:00","0"
"80836","80836","ACIDENTE","RUY BARBOSA","BA","***","7/4/2022","12:10:00","0"
"80850","80850","INCIDENTE","PATO BRANCO","PR","SBPO","7/3/2022","20:10:00","0"
"80830","80830","INCIDENTE","CANDEIAS DO JAMARI","RO","**NI","7/1/2022","21:10:00","0"
"80840","80840","INCIDENTE","MANAUS","AM","SBEG","7/1/2022","1:58:00","0"
"80832","80832","INCIDENTE","MANAUS","AM","SBEG","6/30/2022","20:29:00","0"
"80833","80833","INCIDENTE","MANAUS","AM","SBEG","6/29/2022","0:37:00","0"
"80844","80844","INCIDENTE","CAMPINAS","SP","SDAM","6/26/2022","13:45:00","0"
"80818","80818","ACIDENTE","SALTO DE PIRAPORA","SP","***","6/25/2022","15:00:00","0"
"80820","80820","ACIDENTE","ARAPONGAS","PR","SSOG","6/25/2022","19:00:00","0"
"80821","80821","INCIDENTE","BRASÍLIA","DF","SBGR","6/25/2022","14:32:00","0"
"80819","80819","INCIDENTE","GOIÂNIA","GO","SBGO","6/24/2022","14:44:00","0"
"80827","80827","INCIDENTE GRAVE","PONTA GROSSA","PR","***","6/24/2022","20:30:00","0"
"80829","80829","INCIDENTE","RECIFE","PE","SBRF","6/24/2022","14:38:00","0"
"80831","80831","INCIDENTE","CONFINS","MG","SBCF","6/24/2022","16:06:00","0"
"80814","80814","INCIDENTE","PORTO VELHO","RO","SBPV","6/23/2022","12:06:00","0"
"80817","80817","INCIDENTE","SÃO JOSÉ DO RIO PRETO","SP","SBSR","6/23/2022","22:59:00","0"
"80828","80828","INCIDENTE","UBERLÂNDIA","MG","SBUL","6/23/2022","20:25:00","0"
"80816","80816","ACIDENTE","BENEVIDES","PA","***","6/22/2022","16:15:00","0"
"80811","80811","INCIDENTE","SÃO PAULO","SP","SBMT","6/21/2022","19:00:00","0"
"80815","80815","INCIDENTE","BOA VISTA","RR","SBBV","6/21/2022","5:15:00","0"
"80825","80825","INCIDENTE","CAMPINAS","SP","SBKP","6/21/2022","12:12:00","0"
"80807","80807","INCIDENTE","COARI","AM","***","6/20/2022","19:02:00","0"
"80812","80812","INCIDENTE","SANTARÉM","PA","SBSN","6/20/2022","11:25:00","0"
"80813","80813","ACIDENTE","ARARI","MA","***","6/20/2022","21:10:00","0"
"80822","80822","INCIDENTE","CAMPINAS","SP","SBKP","6/20/2022","20:18:00","0"
"80823","80823","ACIDENTE","UBÁ","MG","***","6/20/2022","18:45:00","0"
"80824","80824","INCIDENTE","CAMPINAS","SP","SBKP","6/20/2022","10:09:00","0"
"80852","80852","INCIDENTE","FOZ DO IGUAÇU","PR","SBFI","6/20/2022","17:02:00","0"
"80802","80802","INCIDENTE","SÃO JOSÉ DOS CAMPOS","SP","SBSJ","6/19/2022","16:15:00","0"
"80806","80806","INCIDENTE","BELÉM","PA","SBBE","6/19/2022","16:25:00","0"
"80809","80809","INCIDENTE","BRASÍLIA","DF","SBBR","6/19/2022","1:17:00","0"
"80794","80794","INCIDENTE","GOIÂNIA","GO","SBNV","6/17/2022","18:15:00","0"
"80797","80797","ACIDENTE","FERNANDÓPOLIS","SP","SDFD","6/17/2022","13:10:00","0"
"80800","80800","ACIDENTE","RIBEIRÃO BONITO","SP","SJEH","6/17/2022","17:11:00","0"
"80803","80803","ACIDENTE","SÃO FRANCISCO DO PARÁ","PA","***","6/17/2022","12:00:00","0"
"80793","80793","INCIDENTE","SÃO PAULO","SP","SBMT","6/16/2022","19:22:00","0"
"80799","80799","ACIDENTE","SINOP","MT","SBSI","6/16/2022","15:55:00","0"
"80835","80835","ACIDENTE","UBERLÂNDIA","MG","***","6/16/2022","20:21:00","0"
"80795","80795","ACIDENTE","ITAITUBA","PA","***","6/15/2022","15:30:00","0"
"80810","80810","INCIDENTE","CURITIBA","PR","SBCT","6/15/2022","21:25:00","0"
"80796","80796","INCIDENTE","BRASÍLIA","DF","SBBR","6/14/2022","19:10:00","0"
"80848","80848","ACIDENTE","RESPLENDOR","MG","***","6/14/2022","18:00:00","0"
"80788","80788","INCIDENTE","MANAUS","AM","SWFN","6/13/2022","15:35:00","0"
"80789","80789","INCIDENTE GRAVE","PAUDALHO","PE","***","6/13/2022","13:10:00","0"
"80804","80804","INCIDENTE","BRASÍLIA","DF","SBBR","6/13/2022","10:50:00","0"
"80808","80808","INCIDENTE","PORTO ALEGRE","RS","SSBN","6/13/2022","19:30:00","0"
"80805","80805","INCIDENTE","CUIABÁ","MT","SBCY","6/12/2022","23:00:00","0"
"80785","80785","INCIDENTE GRAVE","IBITINGA","SP","SDIG","6/11/2022","11:00:00","0"
"80783","80783","INCIDENTE","SÃO PAULO","SP","SBMT","6/10/2022","14:42:00","0"
"80784","80784","INCIDENTE","SÃO PAULO","SP","SBMT","6/10/2022","18:08:00","0"
"80790","80790","INCIDENTE","CONFINS","MG","SBCF","6/10/2022","18:45:00","0"
"80781","80781","ACIDENTE","SÃO JOSÉ DE RIBAMAR","MA","***","6/9/2022","20:00:00","0"
"80779","80779","INCIDENTE","SERRA TALHADA","PE","SNHS","6/8/2022","13:55:00","0"
"80791","80791","INCIDENTE","BRASÍLIA","DF","SBBR","6/8/2022","15:25:00","0"
"80776","80776","INCIDENTE","SÃO PAULO","SP","SBSP","6/7/2022","18:45:00","0"
"80777","80777","INCIDENTE GRAVE","ILICÍNEA","MG","***","6/7/2022","12:45:00","0"
"80778","80778","INCIDENTE","RONDONÓPOLIS","MT","SBRD","6/7/2022","19:05:00","0"
"80771","80771","INCIDENTE","JOÃO PESSOA","PB","SBJP","6/6/2022","15:35:00","0"
"80782","80782","INCIDENTE","RIO DE JANEIRO","RJ","SBGL","6/6/2022","9:24:00","0"
"80786","80786","INCIDENTE","PORTO ALEGRE","RS","SBPA","6/6/2022","2:18:00","0"
"80772","80772","ACIDENTE","CURRAIS NOVOS","RN","***","6/5/2022","16:36:00","0"
"80766","80766","INCIDENTE","MANAUS","AM","SBEG","6/3/2022","9:00:00","0"
"80774","80774","INCIDENTE","CUIABÁ","MT","SBCY","6/3/2022","20:33:00","0"
"80849","80849","INCIDENTE","JAGUARUNA","SC","SBJA","6/3/2022","15:40:00","0"
"80767","80767","INCIDENTE","CAMPINAS","SP","SBKP","6/2/2022","21:23:00","0"
"80769","80769","INCIDENTE","RIO DE JANEIRO","RJ","SBGL","6/1/2022","18:25:00","0"
"80759","80759","INCIDENTE","RECIFE","PE","SBRF","5/31/2022","6:20:00","0"
"80754","80754","INCIDENTE","SANTA ISABEL DO RIO NEGRO","AM","**NI","5/30/2022","18:00:00","0"
"80768","80768","INCIDENTE GRAVE","SÃO GABRIEL","RS","***","5/30/2022","16:15:00","0"
"80764","80764","INCIDENTE","CONFINS","MG","SBCF","5/29/2022","8:59:00","0"
"80757","80757","ACIDENTE","ITAQUIRAÍ","MS","**NI","5/27/2022","13:00:00","0"
"80851","80851","INCIDENTE","PETROLINA","PE","SBPL","5/27/2022","12:57:00","0"
"80750","80750","INCIDENTE GRAVE","RIO DE JANEIRO","RJ","SBJR","5/26/2022","19:26:00","0"
"80753","80753","INCIDENTE","ARACATI","CE","**NI","5/26/2022","17:52:00","0"
"80755","80755","INCIDENTE","RIBEIRÃO PRETO","SP","SBRP","5/26/2022","17:17:00","0"
"80746","80746","INCIDENTE","CONFINS","MG","SBCF","5/25/2022","20:20:00","0"
"80748","80748","INCIDENTE GRAVE","BARRA DE SÃO FRANCISCO","ES","***","5/25/2022","19:10:00","0"
"80763","80763","INCIDENTE GRAVE","SÃO PAULO","SP","SBSP","5/25/2022","18:59:00","0"
"80745","80745","INCIDENTE","ITAJAÍ","SC","***","5/24/2022","14:30:00","0"
"80749","80749","ACIDENTE","ITACOATIARA","AM","***","5/24/2022","11:50:00","0"
"80752","80752","INCIDENTE","SALVADOR","BA","SBSV","5/24/2022","22:29:00","0"
"80738","80738","INCIDENTE GRAVE","DOURADOS","MS","**NI","5/21/2022","12:25:00","0"
"80743","80743","INCIDENTE","CAMPOS DOS GOYTACAZES","RJ","***","5/21/2022","10:56:00","0"
"80741","80741","ACIDENTE","ELDORADO DO SUL","RS","***","5/20/2022","13:52:00","0"
"80739","80739","INCIDENTE GRAVE","CORRENTINA","BA","***","5/19/2022","9:40:00","0"
"80744","80744","INCIDENTE","PARÁ DE MINAS","MG","***","5/19/2022","20:13:00","0"
"80747","80747","INCIDENTE","NAVEGANTES","SC","***","5/19/2022","12:25:00","0"
"80751","80751","INCIDENTE","CURITIBA","PR","SBCT","5/19/2022","16:13:00","0"
"80735","80735","INCIDENTE","GOIANDIRA","GO","**NI","5/18/2022","20:15:00","0"
"80727","80727","ACIDENTE","BRASILÂNDIA DE MINAS","MG","SISN","5/17/2022","10:00:00","0"
"80736","80736","ACIDENTE","BOITUVA","SP","***","5/17/2022","10:00:00","0"
"80740","80740","INCIDENTE","BELÉM","PA","SBBE","5/17/2022","17:52:00","0"
"80734","80734","INCIDENTE","CAMPINAS","SP","SBKP","5/16/2022","21:03:00","0"
"80731","80731","INCIDENTE","CAMPINAS","SP","SBKP","5/15/2022","12:15:00","0"
"80728","80728","INCIDENTE","SÃO JOSÉ DOS CAMPOS","SP","SBSJ","5/14/2022","15:50:00","0"
"80721","80721","INCIDENTE","SÃO PAULO","SP","***","5/13/2022","15:00:00","0"
"80729","80729","INCIDENTE","PORTO ALEGRE","RS","SBPA","5/12/2022","15:15:00","0"
"80730","80730","INCIDENTE","GUARULHOS","SP","SBGR","5/12/2022","9:10:00","0"
"80732","80732","INCIDENTE","SOROCABA","SP","SDCO","5/12/2022","22:20:00","0"
"80716","80716","INCIDENTE","MACEIÓ","AL","SBMO","5/11/2022","21:05:00","0"
"80718","80718","INCIDENTE","CARUARU","PE","SNRU","5/11/2022","13:55:00","0"
"80720","80720","ACIDENTE","BOITUVA","SP","***","5/11/2022","15:05:00","0"
"80700","80700","INCIDENTE","SANTARÉM","PA","SBSN","5/8/2022","17:22:00","0"
"80703","80703","ACIDENTE","CRUZEIRO DO SUL","AC","***","5/8/2022","17:00:00","0"
"80712","80712","INCIDENTE GRAVE","CURVELO","MG","SNQV","5/8/2022","19:00:00","0"
"80701","80701","INCIDENTE GRAVE","RIO DE JANEIRO","RJ","***","5/7/2022","17:20:00","0"
"80713","80713","INCIDENTE","GUARULHOS","SP","SBGR","5/7/2022","20:28:00","0"
"80714","80714","INCIDENTE","GUARULHOS","SP","SBGR","5/7/2022","11:37:00","0"
"80724","80724","INCIDENTE","AMERICANA","SP","SDAI","5/7/2022","20:00:00","0"
"80715","80715","INCIDENTE","RECIFE","PE","SBRF","5/6/2022","19:00:00","0"
"80726","80726","INCIDENTE","CORREIA PINTO","SC","SNCP","5/6/2022","13:30:00","0"
"80705","80705","INCIDENTE","BELO HORIZONTE","MG","SBBH","5/5/2022","3:30:00","0"
"80704","80704","INCIDENTE","BRASÍLIA","DF","***","5/4/2022","11:10:00","0"
"80702","80702","ACIDENTE","ALTO PARAÍSO DE GOIÁS","GO","***","5/3/2022","20:15:00","0"
"80690","80690","INCIDENTE","TEFÉ","AM","SBTF","5/2/2022","13:20:00","0"
"80695","80695","INCIDENTE","CURITIBA","PR","SBCT","5/2/2022","12:10:00","0"
"80696","80696","INCIDENTE","RECIFE","PE","SBRF","5/2/2022","19:06:00","0"
"80685","80685","ACIDENTE","BIRITIBA-MIRIM","SP","SDIH","5/1/2022","14:00:00","0"
"80711","80711","INCIDENTE","GUARULHOS","SP","***","5/1/2022","12:32:00","0"
"80686","80686","INCIDENTE GRAVE","TRÊS LAGOAS","MS","SBTG","4/30/2022","21:08:00","0"
"80688","80688","ACIDENTE","ALTO PIQUIRI","PR","***","4/30/2022","10:00:00","0"
"80682","80682","INCIDENTE","VILA VELHA","ES","SIVU","4/29/2022","13:30:00","0"
"80687","80687","INCIDENTE","GOIÂNIA","GO","SBGO","4/29/2022","17:25:00","0"
"80689","80689","INCIDENTE","CAMPINAS","SP","SBKP","4/29/2022","0:30:00","0"
"80691","80691","ACIDENTE","NOVA BANDEIRANTES","MT","***","4/29/2022","19:30:00","0"
"80742","80742","INCIDENTE","RIO DE JANEIRO","RJ","SBGL","4/27/2022","11:48:00","0"
"80693","80693","INCIDENTE GRAVE","GARUVA","SC","***","4/26/2022","13:30:00","0"
"80684","80684","INCIDENTE","CURITIBA","PR","SBCT","4/25/2022","15:57:00","0"
"80675","80675","INCIDENTE","TAMARANA","PR","***","4/24/2022","19:26:00","0"
"80669","80669","INCIDENTE","UBERLÂNDIA","MG","SBUL","4/23/2022","15:50:00","0"
"80665","80665","ACIDENTE","NÃO IDENTIFICADA","**","**NI","4/22/2022","20:00:00","0"
"80666","80666","INCIDENTE GRAVE","RIO DE JANEIRO","RJ","SBJR","4/22/2022","15:37:00","0"
